,SubjectID,context,speaker,meanACC,meanRT,Hits,FAlarms,miss,cr,n,pH,pFA,dprime,pair,pu,vvl,cloze
189,202,Initial,L2,0.966666667,822.6303333,3,1,0,26,30,0.875,0.037037037,2.936504942,Hx,control,voiceless,0.416666667
190,202,Medial,L2,0.96875,941.0503125,4,0,1,27,32,0.8,0.0135,3.053139043,hs,control,ccontrol,0.416666667
191,202,Initial,L2,0.931034483,876.4862069,4,0,2,23,29,0.666666667,0.0135,2.642245108,Rs,control,ccontrol,0.416666667
192,202,Medial,L2,0.935483871,1016.068065,4,0,2,25,31,0.666666667,0.0135,2.642245108,Rs,control,ccontrol,0.416666667
193,202,Initial,L2,1,867.69,0,0,0,14,14,NA,0.0135,NA,Hr,control,ccontrol,0.416666667
194,202,Medial,L2,1,783.8728571,0,0,0,14,14,NA,0.0135,NA,Hr,control,ccontrol,0.416666667
195,202,Initial,L2,1,749.7158333,0,0,0,12,12,NA,0.0135,NA,xz,control,ccontrol,0.416666667
196,202,Medial,L2,0.909090909,859.2575758,5,0,3,25,33,0.625,0.0135,2.530157173,Hz,control,ccontrol,0.416666667
197,202,Final,L2,0.878787879,1037.588788,4,0,4,25,33,0.5,0.0135,2.211517809,As,control,ccontrol,0.416666667
198,202,Final,L2,0.972222222,1002.788056,4,0,1,31,36,0.8,0.0135,3.053139043,hx,control,ccontrol,0.416666667
199,202,Final,L2,0.941176471,986.0211765,4,0,2,28,34,0.666666667,0.0135,2.642245108,xz,control,ccontrol,0.416666667
200,202,Medial,L2,0.96875,959.0665625,4,0,1,27,32,0.8,0.0135,3.053139043,Hs,control,ccontrol,0.416666667
201,202,Medial,L2,0.967741935,960.0877419,4,0,1,26,31,0.8,0.0135,3.053139043,AR,control,voiced,0.416666667
202,202,Initial,L2,0.933333333,906.58,4,0,2,24,30,0.666666667,0.0135,2.642245108,hs,control,ccontrol,0.416666667
203,202,Initial,L2,1,837.7040625,6,0,0,26,32,0.875,0.0135,3.36186719,Hq,control,ccontrol,0.416666667
204,202,Medial,L2,0.970588235,878.1523529,6,0,1,27,34,0.857142857,0.0135,3.279088333,Hq,control,ccontrol,0.416666667
205,202,Final,L2,0.970588235,993.8841176,4,0,1,29,34,0.8,0.0135,3.053139043,Hq,control,ccontrol,0.416666667
206,202,Medial,L2,1,886.82125,4,0,0,28,32,0.875,0.0135,3.36186719,Ax,control,ccontrol,0.416666667
207,202,Initial,L2,0.928571429,848.4375,4,0,2,22,28,0.666666667,0.0135,2.642245108,hx,control,ccontrol,0.416666667
208,202,Final,L2,1,1001.217353,4,0,0,30,34,0.875,0.0135,3.36186719,sx,control,ccontrol,0.416666667
209,202,Initial,L2,1,867.69,0,0,0,14,14,NA,0.0135,NA,Hz,control,ccontrol,0.416666667
210,202,Final,L2,0.828571429,1052.168857,3,1,5,26,35,0.375,0.037037037,1.467516197,Ah,control,ccontrol,0.416666667
211,202,Final,L2,1,1012.127143,0,0,0,14,14,NA,0.0135,NA,Hr,control,ccontrol,0.416666667
212,202,Final,L2,0.941176471,1031.197647,4,0,2,28,34,0.666666667,0.0135,2.642245108,Rz,control,ccontrol,0.416666667
213,202,Final,L2,0.966666667,1009.941667,0,0,1,29,30,0.125,0.0135,1.061168429,hH,control,ccontrol,0.416666667
214,202,Final,L2,0.9375,1022.334063,4,0,2,26,32,0.666666667,0.0135,2.642245108,sz,control,ccontrol,0.416666667
